epoch,fold,accuracy,loss
1,1,83.70370370370371,0.334743619710207
2,1,87.4074074074074,0.2723668489605188
3,1,88.14814814814815,0.28968500159680843
1,2,85.92592592592592,0.3669789433479309
2,2,87.4074074074074,0.5080550730228424
3,2,85.92592592592592,0.346999990940094
1,3,89.55223880597015,0.26939297914505006
2,3,89.55223880597015,0.26008336395025256
3,3,90.29850746268657,0.27306789979338647
1,4,87.31343283582089,0.3036013305187225
2,4,88.05970149253731,0.3107877388596535
3,4,87.31343283582089,0.34554210528731344
1,5,82.08955223880596,0.5225018560886383
2,5,90.29850746268657,0.305753131210804
3,5,88.80597014925372,0.28025810942053797
